671,gi|6322707|ref|NP_012780.1|,"Putative mitochondrial ribosomal protein, has similarity to E. coli ribosomal protein S2; Mrp8p [Saccharomyces cerevisiae] ",219,25097,4.8,o,Q,MRP8,YKL142W,XI,3,8,0,3,8,8,28.31,0.00040108,3,5,0,3,5,5,21.46,0.00023372,X,X,X,X,X,X,X,X,4,8,0,4,8,8,35.16,0.00040183,0.000346,3,4,9,0,4,9,9,34.7,0.00045618,6,13,0,6,13,13,35.16,0.00072826,2,4,0,2,4,4,17.35,0.00020996,4,6,0,4,6,6,29.68,0.00028656,0.00042,4,3,6,0,3,6,6,28.31,0.00028221,1,2,0,1,2,2,5.48,0.00008965,1,3,0,1,3,3,10.5,0.00014566,2,3,0,2,3,3,22.83,0.00015941,0.000169,4,6,19,0,6,19,19,37.44,0.00082863,8,27,0,8,27,27,47.49,0.00120344,4,12,0,4,12,12,35.16,0.00052757,10,28,0,10,28,28,47.95,0.00123983,0.00095,4,1,2,0,1,2,2,10.5,0.00008213,5,14,0,5,14,14,43.84,0.00065028,5,11,1,5,10,10,35.16,0.00053558,4,10,2,4,8,8,29.68,0.00034722,0.000404,4,5,9,0,5,9,9,34.7,0.00036001,5,7,0,5,7,7,33.79,0.00028477,3,7,0,3,7,7,28.31,0.00030646,6,13,2,6,11,11,49.77,0.00044093,0.000348,4,,
672,gi|14318578|ref|NP_116711.1|,"Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p; Hxk1p [Saccharomy",485,53738,5.5,o,Q,HXK1,YFR053C,VI,9,15,4,7,11,11.20465116,32.78,0.00025365,5,8,3,3,5,5.092592593,14.43,0.00010749,9,24,13,7,11,11.66511628,28.04,0.0002162,6,12,2,5,10,10.0896861,18.14,0.00022884,0.000202,4,3,10,6,2,4,4.192,9.28,0.00009594,3,6,0,3,6,6,9.9,0.00015177,4,14,12,2,2,2.177777778,9.69,0.00005162,7,14,8,5,6,6.355555556,17.53,0.00013706,0.000109,4,2,5,5,0,0,0,3.51,X,3,4,0,3,4,4,9.07,0.00008096,4,7,1,3,6,6.037267081,14.02,0.00013236,4,7,4,2,3,3.115384615,9.69,0.00007475,0.000096,3,30,83,3,29,80,81.31868132,67.84,0.00160141,30,92,6,28,86,88.59296482,69.28,0.00178305,30,90,2,29,88,88.85024155,70.72,0.00176385,31,94,4,29,90,91.62162162,70.52,0.00183191,0.001745,4,10,16,3,8,13,13.21311475,32.99,0.00024501,7,12,4,5,8,8.163265306,17.73,0.00017121,7,12,1,6,11,11.06666667,21.44,0.00026763,14,28,3,12,25,25.34090909,43.09,0.00049664,0.000295,4,4,8,5,2,3,3.107142857,10.52,0.00005612,6,14,7,4,7,7.170138889,16.29,0.00013171,4,8,2,2,6,6.063829787,12.16,0.00011987,9,19,4,7,15,15.27522936,27.63,0.00027648,0.000146,4,,
673,gi|37362609|ref|NP_009355.2|,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm; Gcv3p [Saccharomyces cerevisiae] ",170,18795,4.7,o,Q,GCV3,YAL044C,I,2,6,0,2,6,6,20.59,0.00038752,4,14,0,4,14,14,30,0.00084305,2,3,0,2,3,3,20.59,0.00015863,3,11,0,3,11,11,20.59,0.00071177,0.000525,4,X,X,X,X,X,X,X,X,2,6,0,2,6,6,20.59,0.000433,2,3,0,2,3,3,17.06,0.00020286,2,3,0,2,3,3,20.59,0.00018458,0.000273,3,3,10,0,3,10,10,28.82,0.00060592,4,10,0,4,10,10,21.76,0.00057743,5,15,0,5,15,15,34.71,0.00093823,1,2,0,1,2,2,12.35,0.0001369,0.000565,4,3,13,0,3,13,13,21.76,0.00073038,1,3,0,1,3,3,9.41,0.00017226,3,11,0,3,11,11,25.29,0.000623,4,9,0,4,9,9,21.76,0.00051338,0.00051,4,3,6,0,3,6,6,21.76,0.00031741,1,1,0,1,1,1,8.24,0.00005984,2,3,0,2,3,3,9.41,0.00020698,4,10,0,4,10,10,26.47,0.00055913,0.000286,4,3,6,0,3,6,6,21.76,0.00030918,2,10,0,2,10,10,21.76,0.00052408,3,6,0,3,6,6,25.29,0.00033839,2,8,0,2,8,8,21.76,0.00041311,0.000396,4,,
674,gi|6322127|ref|NP_012202.1|,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; Arc15p [Saccharomyces cerevisiae] ",154,17134,5.3,o,Q,ARC15,YIL062C,IX,2,2,0,2,2,2,32.47,0.00014259,3,8,0,3,8,8,33.12,0.00053179,3,6,0,3,6,6,33.77,0.00035022,5,10,0,5,10,10,57.79,0.00071429,0.000435,4,3,4,0,3,4,4,39.61,0.00028832,X,X,X,X,X,X,X,X,3,5,0,3,5,5,38.96,0.00037322,2,3,0,2,3,3,20.78,0.00020375,0.000288,3,1,1,0,1,1,1,14.29,0.00006689,3,6,0,3,6,6,32.47,0.00038246,2,3,0,2,3,3,25.97,0.00020714,1,3,0,1,3,3,14.29,0.00022669,0.000221,4,2,5,0,2,5,5,18.18,0.0003101,4,7,0,4,7,7,44.16,0.00044369,4,12,0,4,12,12,50.65,0.00075025,3,8,0,3,8,8,33.12,0.00050375,0.000502,4,3,6,0,3,6,6,33.12,0.00035039,5,10,0,5,10,10,57.14,0.00066054,5,9,0,5,9,9,57.79,0.00068547,4,11,0,4,11,11,40.26,0.00067894,0.000594,4,4,10,0,4,10,10,50.65,0.00056884,3,6,0,3,6,6,25.32,0.00034712,6,9,0,6,9,9,64.94,0.00056033,5,8,0,5,8,8,58.44,0.00045603,0.000483,4,,
675,gi|6324215|ref|NP_014286.1|,"RNA polymerase subunit, common to RNA polymerases I and III; Rpc19p [Saccharomyces cerevisiae] ",142,16151,4.4,i,Q,RPC19,YNL113W,XIV,3,8,0,3,8,8,44.37,0.00061857,2,4,0,2,4,4,23.94,0.00028837,2,3,0,2,3,3,23.94,0.00018991,1,4,0,1,4,4,10.56,0.00030986,0.000352,4,2,4,0,2,4,4,26.06,0.00031269,4,7,0,4,7,7,42.25,0.00060478,3,6,0,3,6,6,16.9,0.00048571,4,7,0,4,7,7,34.51,0.0005156,0.00048,4,2,4,0,2,4,4,23.94,0.00029016,3,8,0,3,8,8,34.51,0.00055303,3,4,0,3,4,4,39.44,0.00029953,X,X,X,X,X,X,X,X,0.000381,3,2,4,0,2,4,4,26.06,0.00026905,2,5,0,2,5,5,26.06,0.00034371,3,9,0,3,9,9,34.51,0.00061024,4,8,0,4,8,8,52.82,0.00054632,0.000442,4,3,6,0,3,6,6,34.51,0.00038,5,10,0,5,10,10,42.96,0.00071636,3,6,0,3,6,6,26.76,0.0004956,4,10,0,4,10,10,34.51,0.00066938,0.000565,4,3,6,0,3,6,6,23.94,0.00037015,2,3,0,2,3,3,18.31,0.00018822,3,5,0,3,5,5,27.46,0.0003376,3,5,0,3,5,5,36.62,0.0003091,0.000301,4,,
676,gi|6319733|ref|NP_009815.1|,Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway; Rib5p [Saccharomyces cerevisiae] ,238,26196,5.2,o,Q,RIB5,YBR256C,II,3,5,0,3,5,5,19.75,0.00023066,4,9,0,4,9,9,27.73,0.00038711,2,2,0,2,2,2,6.72,0.00007554,3,9,0,3,9,9,18.07,0.00041597,0.000277,4,4,9,0,4,9,9,24.79,0.00041976,4,9,0,4,9,9,21.01,0.00046393,6,18,0,6,18,18,25.21,0.00086938,4,9,0,4,9,9,19.75,0.00039552,0.000537,4,2,6,0,2,6,6,13.03,0.00025968,8,14,0,8,14,14,39.5,0.00057743,6,17,0,6,17,17,38.66,0.00075952,5,10,0,5,10,10,32.77,0.00048894,0.000521,4,7,12,0,7,12,12,43.7,0.00048157,6,13,0,6,13,13,38.66,0.00053318,4,13,0,4,13,13,19.75,0.00052591,5,11,0,5,11,11,32.77,0.00044819,0.000497,4,3,5,0,3,5,5,19.75,0.00018893,X,X,X,X,X,X,X,X,3,4,0,3,4,4,21.43,0.00019713,2,5,0,2,5,5,13.03,0.00019969,0.000195,3,4,14,0,4,14,14,23.95,0.0005153,3,8,0,3,8,8,19.75,0.00029947,2,5,0,2,5,5,13.03,0.00020143,3,5,0,3,5,5,18.07,0.00018442,0.0003,4,,
677,gi|6322053|ref|NP_012128.1|,"Minor isoform of tropomyosin, binds to and stabilizes actin cables and filaments, which direct polarized cell growth and the distribution of several organelles; appears to have distinct and also overlapping functions with Tpm1p; Tpm2p [Saccharomyces cerev",161,19093,4.5,o,Q,TPM2,YIL138C,IX,4,8,0,4,8,8,40.37,0.00054557,2,2,0,2,2,2,22.98,0.00012717,2,4,0,2,4,4,22.98,0.00022333,3,15,0,3,15,15,31.68,0.00102486,0.00048,4,2,5,0,2,5,5,19.88,0.00034473,2,3,0,2,3,3,22.98,0.0002286,5,13,0,5,13,13,40.99,0.00092818,1,2,0,1,2,2,11.18,0.00012993,0.000408,4,2,2,0,2,2,2,20.5,0.00012796,3,6,0,3,6,6,31.68,0.00036583,3,5,0,3,5,5,28.57,0.00033023,X,X,X,X,X,X,X,X,0.000275,3,2,8,0,2,8,8,22.98,0.00047459,4,4,0,4,4,4,40.99,0.00024252,2,4,0,2,4,4,22.98,0.00023921,2,6,0,2,6,6,19.25,0.00036139,0.000329,4,4,7,0,4,7,7,24.84,0.00039101,2,2,0,2,2,2,21.12,0.00012636,5,9,0,5,9,9,50.93,0.00065566,2,5,0,2,5,5,22.98,0.00029519,0.000367,4,3,5,0,3,5,5,28.57,0.00027205,1,1,0,1,1,1,11.18,0.00005534,4,9,0,4,9,9,28.57,0.00053597,4,10,0,4,10,10,31.06,0.00054525,0.000352,4,,
678,gi|6322732|ref|NP_012805.1|,Co-chaperone that binds to and regulates Hsp90 family chaperones; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins and like p23 can regulate telomerase activity; Sba1p [Saccharomyces cerevisiae] ,216,24082,4.6,o,Q,SBA1,YKL117W,XI,2,6,0,2,6,6,9.26,0.00030499,3,23,0,3,23,23,22.22,0.00109005,1,4,0,1,4,4,5.09,0.00016646,2,3,0,2,3,3,11.57,0.00015278,0.000429,4,2,3,0,2,3,3,9.26,0.00015417,1,2,0,1,2,2,4.63,0.0001136,2,4,0,2,4,4,11.57,0.00021287,2,3,0,2,3,3,9.26,0.00014527,0.000156,4,3,4,0,3,4,4,17.59,0.00019075,X,X,X,X,X,X,X,X,3,4,0,3,4,4,21.76,0.00019691,2,3,0,2,3,3,7.87,0.00016162,0.000183,3,3,5,0,3,5,5,17.13,0.00022109,4,21,0,4,21,21,29.63,0.00094901,2,7,0,2,7,7,9.26,0.00031202,3,6,0,3,6,6,16.67,0.00026937,0.000438,4,4,10,0,4,10,10,29.17,0.00041635,2,6,0,2,6,6,17.59,0.00028256,2,3,0,2,3,3,8.8,0.0001629,3,6,0,3,6,6,21.76,0.00026403,0.000281,4,5,20,0,5,20,20,21.76,0.00081112,3,9,0,3,9,9,16.67,0.00037122,4,10,0,4,10,10,12.5,0.00044388,3,18,0,3,18,18,13.89,0.00073154,0.000589,4,,
679,gi|6323729|ref|NP_013800.1|,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production; Adh3p [Saccharomyces cerevisiae] ,375,40370,8.4,o,Q,ADH3,YMR083W,XIII,7,21,3,6,18,18.37762238,30.13,0.00053808,7,26,11,5,15,15.76744186,33.07,0.00043043,6,9,3,4,6,6.147540984,27.2,0.00014736,8,49,26,6,23,31.54285714,31.73,0.00092527,0.00051,4,6,14,5,5,9,9.428571429,23.73,0.0002791,5,16,10,3,6,6.45112782,25.87,0.00021105,5,14,10,3,4,4.332800889,25.6,0.00013282,6,20,14,4,6,6.75,28.53,0.00018827,0.000203,4,6,10,3,4,7,7.19266055,29.07,0.00019757,7,29,18,5,11,12.78027585,31.2,0.00033455,7,72,59,5,13,17.69214944,37.07,0.00050167,5,19,14,3,5,5.538461538,23.73,0.00017186,0.000301,4,7,71,53,5,18,22.24830868,37.33,0.00056666,10,74,50,8,24,30.02713568,41.6,0.00078161,10,33,9,8,24,25.98165138,42.13,0.00066708,11,40,15,9,25,26.31578947,42.67,0.00068051,0.000674,4,7,15,5,5,10,10.27322404,33.07,0.00024637,6,26,20,4,6,6.612121212,26.4,0.00017936,5,13,6,3,7,7.185840708,24,0.00022476,7,64,54,5,10,12.22743802,30.4,0.00030993,0.00024,4,3,9,7,1,2,2.084337349,17.6,0.00004869,3,17,13,2,4,4.304093567,9.07,0.00010226,2,12,12,0,0,0,7.47,X,4,28,22,2,6,7.346938776,23.47,0.00017199,0.000108,3,,
680,gi|6320727|ref|NP_010807.1|,"Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase), binds to the drugs FK506 and rapamycin; expression pattern suggests possible involvement in ER protein trafficking; Fpr2p [Saccharomyces cerevisiae] ",135,14487,5.5,o,S,FPR2,YDR519W,IV,5,12,0,5,12,12,48.89,0.00097596,2,4,0,2,4,4,17.04,0.00030332,3,4,0,3,4,4,16.3,0.00026634,X,X,X,X,X,X,X,X,0.000515,3,3,6,0,3,6,6,32.59,0.00049335,2,3,0,2,3,3,22.22,0.00027263,2,5,0,2,5,5,17.78,0.00042575,1,2,0,1,2,2,8.89,0.00015495,0.000337,4,2,2,0,2,2,2,18.52,0.0001526,3,6,0,3,6,6,25.19,0.00043628,1,2,0,1,2,2,8.89,0.00015753,2,3,0,2,3,3,16.3,0.00025859,0.000251,4,2,2,0,2,2,2,19.26,0.0001415,3,5,0,3,5,5,25.19,0.00036153,3,5,0,3,5,5,31.11,0.0003566,3,3,0,3,3,3,30.37,0.00021549,0.000269,4,1,2,0,1,2,2,8.89,0.00013323,2,3,0,2,3,3,19.26,0.00022605,2,4,0,2,4,4,17.78,0.00034753,3,7,0,3,7,7,25.19,0.00049286,0.0003,4,2,4,0,2,4,4,16.3,0.00025956,1,2,0,1,2,2,7.41,0.00013199,3,6,0,3,6,6,24.44,0.00042613,4,7,0,4,7,7,25.93,0.00045518,0.000318,4,,
681,gi|6319407|ref|NP_009489.1|,"Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; induced during respiratory growth and under conditions of oxidative stress; phosphorylated; Prx1p [Saccharomyces cerevisiae] ",261,29496,8.9,o,Q,PRX1,YBL064C,II,1,2,0,1,2,2,4.6,0.00008413,X,X,X,X,X,X,X,X,2,3,0,2,3,3,8.81,0.00010332,1,2,0,1,2,2,4.21,0.00008429,0.000091,3,3,9,0,3,9,9,21.84,0.00038277,3,3,0,3,3,3,13.41,0.00014102,2,3,0,2,3,3,10.34,0.00013213,4,6,0,4,6,6,17.24,0.00024044,0.000224,4,2,4,0,2,4,4,18.77,0.00015786,5,9,1,5,8,8,25.29,0.00030088,2,4,0,2,4,4,17.62,0.00016296,2,4,0,2,4,4,8.81,0.00017834,0.0002,4,9,29,0,9,29,29,53.64,0.00106123,8,33,0,8,33,33,52.49,0.00123418,8,26,1,8,25,25,52.49,0.00092224,8,39,0,8,39,39,47.89,0.00144902,0.001167,4,4,6,0,4,6,6,26.44,0.00020674,4,7,0,4,7,7,19.16,0.00027282,2,2,0,2,2,2,10.34,0.00008988,1,2,0,1,2,2,4.21,0.00007284,0.000161,4,3,4,0,3,4,4,14.56,0.00013425,3,5,0,3,5,5,13.03,0.00017068,2,3,0,2,3,3,10.34,0.0001102,2,3,0,2,3,3,18.77,0.0001009,0.000129,4,,
682,gi|6320235|ref|NP_010315.1|,"Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; Pst2p [Saccharom",198,20966,5.7,o,S,PST2,YDR032C,IV,3,5,0,3,5,5,34.85,0.00027726,3,6,0,3,6,6,38.38,0.00031021,2,4,0,2,4,4,23.23,0.0001816,2,2,0,2,2,2,19.7,0.00011111,0.00022,4,2,6,0,2,6,6,22.73,0.00033638,4,9,0,4,9,9,50.51,0.00055765,1,2,0,1,2,2,15.15,0.00011611,3,7,0,3,7,7,27.27,0.00036977,0.000345,4,3,4,0,3,4,4,34.85,0.00020809,5,10,0,5,10,10,53.03,0.00049578,4,8,0,4,8,8,57.07,0.00042963,2,5,0,2,5,5,22.73,0.00029386,0.000357,4,1,2,0,1,2,2,7.58,0.00009648,4,18,0,4,18,18,54.04,0.00088739,4,5,0,4,5,5,50.51,0.00024314,3,6,0,3,6,6,34.85,0.00029386,0.00038,4,5,10,0,5,10,10,49.49,0.0004542,3,10,0,3,10,10,34.85,0.00051375,3,8,0,3,8,8,42.93,0.0004739,5,10,0,5,10,10,39.9,0.00048006,0.00048,4,1,2,0,1,2,2,7.58,0.00008849,X,X,X,X,X,X,X,X,1,2,0,1,2,2,15.15,0.00009685,4,8,0,4,8,8,50.51,0.00035469,0.00018,3,,
683,gi|6322459|ref|NP_012533.1|,"20S proteasome beta-type subunit, responsible for cleavage after acidic residues in peptides; Pre3p [Saccharomyces cerevisiae] ",215,23548,5.9,o,Q,PRE3,YJL001W,X,3,6,0,3,6,6,33.95,0.00030641,X,X,X,X,X,X,X,X,3,6,0,3,6,6,27.91,0.00025086,3,4,0,3,4,4,17.21,0.00020465,0.000254,3,2,8,1,2,7,7,26.51,0.00036141,4,11,0,4,11,11,36.28,0.00062768,3,5,0,3,5,5,17.21,0.00026733,3,6,0,3,6,6,16.74,0.00029189,0.000387,4,2,10,0,2,10,10,24.65,0.0004791,2,3,0,2,3,3,9.77,0.00013697,6,10,0,6,10,10,43.26,0.00049457,3,6,0,3,6,6,14.88,0.00032474,0.000359,4,6,10,0,6,10,10,41.4,0.00044424,6,11,0,6,11,11,51.16,0.00049941,3,11,0,3,11,11,31.63,0.00049261,3,7,0,3,7,7,29.77,0.00031572,0.000438,4,2,6,0,2,6,6,22.79,0.00025097,3,5,0,3,5,5,33.49,0.00023656,3,5,0,3,5,5,31.63,0.00027277,2,3,0,2,3,3,22.79,0.00013263,0.000223,4,3,5,0,3,5,5,31.16,0.00020372,3,5,0,3,5,5,16.28,0.00020719,3,8,0,3,8,8,14.42,0.00035676,6,9,0,6,9,9,48.84,0.00036747,0.000284,4,,
684,gi|6320720|ref|NP_010801.1|,"Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress; Grx2p [Saccharomyce",143,15861,7.3,i7-26o,A,GRX2,YDR513W,IV,4,14,0,4,14,14,44.76,0.00107493,1,2,0,1,2,2,9.09,0.00014318,5,8,0,5,8,8,33.57,0.00050288,2,4,0,2,4,4,18.88,0.0003077,0.000507,4,2,2,0,2,2,2,18.88,0.00015525,2,3,0,2,3,3,16.78,0.00025738,1,1,0,1,1,1,9.79,0.00008039,X,X,X,X,X,X,X,X,0.000164,3,2,5,0,2,5,5,27.27,0.00036016,1,1,0,1,1,1,7.69,0.00006865,3,6,0,3,6,6,37.06,0.00044615,3,4,0,3,4,4,26.57,0.0003255,0.0003,4,4,10,0,4,10,10,44.76,0.00066791,3,5,0,3,5,5,34.97,0.0003413,5,8,0,5,8,8,44.76,0.00053864,3,6,0,3,6,6,37.06,0.00040688,0.000489,4,2,5,0,2,5,5,18.88,0.00031445,3,6,0,3,6,6,24.48,0.00042681,1,4,0,1,4,4,9.79,0.00032809,1,2,0,1,2,2,9.09,0.00013294,0.000301,4,1,1,0,1,1,1,9.09,0.00006126,1,1,0,1,1,1,9.79,0.0000623,1,1,0,1,1,1,9.79,0.00006705,3,7,0,3,7,7,25.87,0.00042972,0.000155,4,,
685,gi|6320117|ref|NP_010197.1|,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL086W is not an essential gene; Ydl086wp [Saccharomyces cerevisiae] ",273,30837,6.4,o,Q,,YDL086W,IV,5,10,0,5,10,10,33.33,0.00040218,4,10,0,4,10,10,31.87,0.00037498,3,5,0,3,5,5,25.64,0.00016463,1,2,0,1,2,2,6.23,0.00008059,0.000256,4,3,5,0,3,5,5,19.78,0.0002033,1,3,0,1,3,3,6.23,0.00013482,1,3,0,1,3,3,6.23,0.00012632,2,4,0,2,4,4,10.26,0.00015325,0.000154,4,X,X,X,X,X,X,X,X,7,14,0,7,14,14,41.76,0.0005034,4,8,0,4,8,8,35.16,0.0003116,2,2,0,2,2,2,11.72,0.00008525,0.0003,3,8,14,0,8,14,14,56.04,0.0004898,7,18,0,7,18,18,46.15,0.0006436,4,11,0,4,11,11,28.57,0.00038795,5,12,0,5,12,12,25.64,0.00042625,0.000487,4,4,9,0,4,9,9,32.23,0.00029648,5,10,0,5,10,10,38.83,0.00037261,6,14,0,6,14,14,48.72,0.00060149,6,13,0,6,13,13,39.56,0.00045263,0.000431,4,3,6,0,3,6,6,25.64,0.00019253,3,6,0,3,6,6,18.68,0.00019581,3,7,0,3,7,7,25.27,0.00024584,3,6,0,3,6,6,25.27,0.00019293,0.000207,4,,
686,gi|6323681|ref|NP_013752.1|,"Copper chaperone for superoxide dismutase Sod1p, involved in oxidative stress protection; Met-X-Cys-X2-Cys motif within the N-terminal portion is involved in insertion of copper into Sod1p under conditions of copper deprivation; Ccs1p [Saccharomyces cerev",249,27330,6.7,o,Q,CCS1,YMR038C,XIII,2,5,0,2,5,5,10.04,0.00022047,3,16,0,3,16,16,20.88,0.0006578,6,9,0,6,9,9,30.12,0.0003249,4,7,0,4,7,7,23.29,0.00030924,0.000378,4,X,X,X,X,X,X,X,X,3,5,0,3,5,5,19.28,0.00024635,3,5,0,3,5,5,17.27,0.00023083,4,5,0,4,5,5,23.29,0.00021003,0.000229,3,2,6,0,2,6,6,13.65,0.00024821,3,10,0,3,10,10,18.47,0.00039423,4,8,0,4,8,8,22.49,0.00034163,1,4,0,1,4,4,6.02,0.00018693,0.000293,4,1,3,0,1,3,3,6.02,0.00011507,6,12,0,6,12,12,30.12,0.00047042,4,11,0,4,11,11,20.88,0.00042534,4,12,0,4,12,12,24.9,0.00046734,0.00037,4,5,8,0,5,8,8,28.51,0.00028894,5,12,0,5,12,12,22.89,0.00049023,1,6,0,1,6,6,6.02,0.00028263,7,13,0,7,13,13,33.33,0.00049626,0.00039,4,2,6,0,2,6,6,13.25,0.00021109,2,5,0,2,5,5,12.05,0.0001789,2,4,0,2,4,4,12.05,0.00015402,2,4,0,2,4,4,12.05,0.00014102,0.000171,4,,
687,gi|9755334|ref|NP_011515.2|,Putative protein of unknown function with similarity to methyltransferase family members; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in S. cerevisiae; Aml1p [Saccharomyces cere,248,28582,4.9,o,Q,AML1,YGR001C,VII,X,X,X,X,X,X,X,X,4,12,0,4,12,12,25,0.00049534,2,12,0,2,12,12,14.52,0.00043495,2,5,0,2,5,5,10.08,0.00022178,0.000384,3,2,6,0,2,6,6,14.52,0.00026856,2,5,0,2,5,5,12.1,0.00024735,3,5,0,3,5,5,14.92,0.00023176,2,5,0,2,5,5,14.52,0.00021087,0.00024,4,3,12,0,3,12,12,22.18,0.00049842,2,6,0,2,6,6,14.52,0.00023749,2,4,0,2,4,4,10.89,0.00017151,2,4,0,2,4,4,14.52,0.00018769,0.000274,4,1,5,0,1,5,5,7.66,0.00019256,2,4,0,2,4,4,14.52,0.00015744,2,5,0,2,5,5,14.52,0.00019412,2,4,0,2,4,4,14.52,0.00015641,0.000175,4,3,9,0,3,9,9,22.18,0.00032637,3,10,0,3,10,10,20.56,0.00041017,2,6,0,2,6,6,14.92,0.00028377,2,6,0,2,6,6,14.52,0.00022997,0.000313,4,4,11,0,4,11,11,23.39,0.00038855,1,4,0,1,4,4,6.85,0.0001437,3,7,0,3,7,7,16.53,0.00027062,2,8,0,2,8,8,14.52,0.00028318,0.000272,4,,
688,gi|6321809|ref|NP_011885.1|,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps27Ap and has similarity to rat S27 ribosomal protein; Rps27bp [Saccharomyces cerevisiae] ,82,8865,9.1,o,Q,RPS27B,YHR021C,VIII,1,1,0,1,1,1,9.76,0.0001339,1,1,0,1,1,1,9.76,0.00012484,1,2,0,1,2,2,9.76,0.00021924,1,1,0,1,1,1,9.76,0.00013415,0.000153,4,1,2,0,1,2,2,9.76,0.00027074,1,3,0,1,3,3,9.76,0.00044884,1,3,0,1,3,3,9.76,0.00042055,1,2,0,1,2,2,9.76,0.00025511,0.000349,4,1,1,0,1,1,1,9.76,0.00012562,1,3,0,1,3,3,9.76,0.00035913,1,2,0,1,2,2,9.76,0.00025935,1,1,0,1,1,1,9.76,0.00014191,0.000222,4,1,1,0,1,1,1,9.76,0.00011648,1,1,0,1,1,1,9.76,0.00011904,2,5,0,2,5,5,51.22,0.00058708,2,4,0,2,4,4,51.22,0.00047304,0.000324,4,1,2,0,1,2,2,9.76,0.00021935,2,6,0,2,6,6,18.29,0.00074431,2,4,0,2,4,4,18.29,0.00057215,1,3,0,1,3,3,9.76,0.00034775,0.000471,4,1,1,0,1,1,1,9.76,0.00010683,X,X,X,X,X,X,X,X,1,1,0,1,1,1,9.76,0.00011692,1,1,0,1,1,1,9.76,0.00010705,0.00011,3,,
689,gi|6323975|ref|NP_014046.1|,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YMR315W is not an essential gene; Ymr315wp [Saccharomyces cerevisiae] ,349,38216,6.6,o,Q,,YMR315W,XIII,3,6,0,3,6,6,20.92,0.00018876,4,12,0,4,12,12,21.49,0.00035199,1,4,0,1,4,4,6.3,0.00010303,5,10,0,5,10,10,29.23,0.00031519,0.00024,4,X,X,X,X,X,X,X,X,4,9,0,4,9,9,20.63,0.00031638,1,3,0,1,3,3,6.3,0.00009881,4,9,0,4,9,9,25.21,0.00026972,0.000228,3,3,7,0,3,7,7,19.48,0.0002066,4,8,0,4,8,8,23.21,0.00022502,2,4,0,2,4,4,14.9,0.00012187,4,5,0,4,5,5,26.65,0.00016671,0.00018,4,5,16,0,5,16,16,23.78,0.00043787,6,14,0,6,14,14,32.95,0.00039157,6,15,0,6,15,15,34.38,0.00041382,8,31,0,8,31,31,38.97,0.00086136,0.000526,4,2,4,0,2,4,4,15.47,0.00010307,4,7,0,4,7,7,24.64,0.00020403,2,5,0,2,5,5,10.32,0.00016804,5,18,0,5,18,18,28.94,0.00049024,0.000241,4,3,9,0,3,9,9,17.48,0.00022591,5,10,0,5,10,10,25.79,0.00025528,3,5,0,3,5,5,21.2,0.00013736,3,8,0,3,8,8,15.76,0.00020123,0.000205,4,,
